Nama_Variety,Gred,Unit,Harga_Tinggi,Harga_Purata,Harga_Rendah,Tarikh
KACANG BUNCIS, F.A.Q, KILOGRAM, 10.00, 10.00, 9.00,2021-04-06
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 6.00, 5.00, 5.00,2021-04-06
KANGKUNG, F.A.Q, KILOGRAM, 5.00, 5.00, 4.00,2021-04-06
KELAPA DIKUPAS, BESAR, BIJI, 3.00, 2.80, 2.80,2021-04-06
KELAPA DIKUPAS, KECIL, BIJI, 2.00, 2.00, 1.80,2021-04-06
KELAPA DIKUPAS, SEDANG, BIJI, 2.50, 2.50, 2.30,2021-04-06
KELAPA PARUT, F.A.Q, KILOGRAM, 8.00, 8.00, 7.50,2021-04-06
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 5.00, 5.00, 4.00,2021-04-06
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 4.00, 3.50, 3.50,2021-04-06
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 4.00, 4.00, 3.00,2021-04-06
PISANG BERANGAN, F.A.Q, KILOGRAM, 5.00, 4.00, 4.00,2021-04-06
PISANG MAS, F.A.Q, KILOGRAM, 5.50, 5.50, 5.00,2021-04-06
SANTAN BIASA, F.A.Q, KILOGRAM, 11.00, 10.00, 10.00,2021-04-06
SAWI HIJAU, F.A.Q, KILOGRAM, 7.00, 6.00, 6.00,2021-04-06
TELUR AYAM, A, BIJI, .37, .37, .36,2021-04-06
TELUR AYAM, B, BIJI, .30, .30, .29,2021-04-06
TELUR AYAM, C, BIJI, .22, .21, .21,2021-04-06
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 2.50, 2.50, 2.00,2021-04-06
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 5.00, 5.00, 4.00,2021-04-06
TIMUN HIJAU , F.A.Q, KILOGRAM, 5.00, 4.00, 4.00,2021-04-06
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 5.00, 4.00, 4.00,2021-04-06
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 3.50, 3.00, 3.00,2021-04-06
Pusat : KOTA KINABALU, SABAH],,,,,2021-04-06
Nama Varieti, Gred, Unit, Harga],,,2021-04-06
Tinggi, Purata, Rendah],,,,2021-04-06
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 9.70, 9.50, 9.50,2021-04-06
AYAM PROSES SUPER, F.A.Q, KILOGRAM, 10.00, 10.00, 9.80,2021-04-06
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 6.00, 6.00, 5.00,2021-04-06
BAWANG BESAR MERAH (IMPORT), F.A.Q, KILOGRAM, 6.00, 5.00, 5.00,2021-04-06
BAWANG BESAR MERAH (INDIA), F.A.Q, KILOGRAM, 6.00, 5.00, 5.00,2021-04-06
BAWANG MERAH / KECIL (IMPORT), F.A.Q, KILOGRAM, 13.00, 13.00, 12.00,2021-04-06
BAWANG MERAH / KECIL (INDIA), F.A.Q, KILOGRAM, 14.00, 13.00, 13.00,2021-04-06
BAWANG MERAH / KECIL (THAI), F.A.Q, KILOGRAM, 13.00, 12.00, 12.00,2021-04-06
BAWANG MERAH ROSE, F.A.Q, KILOGRAM, 15.00, 15.00, 15.00,2021-04-06
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 9.00, 9.00, 8.00,2021-04-06
BAYAM , F.A.Q, KILOGRAM, 3.50, 3.00, 3.00,2021-04-06
BUNGA KANTAN, F.A.Q, TANGKAI, 3.00, 3.00, 2.50,2021-04-06
CILI HIJAU, F.A.Q, KILOGRAM, 18.00, 16.50, 16.50,2021-04-06
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 19.00, 18.00, 18.00,2021-04-06
CILI MERAH MINYAK, F.A.Q, KILOGRAM, 20.00, 19.00, 19.00,2021-04-06
DAUN BAWANG, F.A.Q, KILOGRAM, 14.00, 13.00, 13.00,2021-04-06
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 13.00, 13.00, 12.00,2021-04-06
KACANG BENDI, F.A.Q, KILOGRAM, 5.00, 5.00, 4.50,2021-04-06
KACANG BUNCIS, F.A.Q, KILOGRAM, 6.00, 6.00, 5.50,2021-04-06
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 4.50, 4.00, 4.00,2021-04-06
KANGKUNG, F.A.Q, KILOGRAM, 3.00, 3.00, 2.50,2021-04-06
KELAPA DIKUPAS, SEDANG, BIJI, 2.50, 2.50, 2.00,2021-04-06
KELAPA PARUT, F.A.Q, KILOGRAM, 6.00, 6.00, 5.00,2021-04-06
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-04-06
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 4.00, 3.50, 3.50,2021-04-06
PISANG BERANGAN, F.A.Q, KILOGRAM, 3.50, 3.50, 3.00,2021-04-06
PISANG MAS, F.A.Q, KILOGRAM, 3.50, 3.50, 3.00,2021-04-06
SANTAN BIASA, F.A.Q, KILOGRAM, 7.00, 7.00, 6.00,2021-04-06
SANTAN PEKAT, F.A.Q, KILOGRAM, 8.00, 8.00, 7.00,2021-04-06
SAWI HIJAU, F.A.Q, KILOGRAM, 3.00, 3.00, 2.80,2021-04-06
TELUR AYAM, A, BIJI, .45, .45, .43,2021-04-06
TELUR AYAM, B, BIJI, .43, .43, .42,2021-04-06
TELUR AYAM, C, BIJI, .41, .41, .40,2021-04-06
TEMBIKAI MERAH, F.A.Q, KILOGRAM, 3.50, 3.00, 3.00,2021-04-06
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 3.50, 3.50, 3.00,2021-04-06
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 5.00, 5.00, 4.70,2021-04-06
TIMUN HIJAU , F.A.Q, KILOGRAM, 4.00, 4.00, 3.00,2021-04-06
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 8.00, 7.00, 7.00,2021-04-06
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 4.00, 3.50, 3.50,2021-04-06
Pusat : KUCHING, SARAWAK],,,,,2021-04-06
Nama Varieti, Gred, Unit, Harga],,,2021-04-06
Tinggi, Purata, Rendah],,,,2021-04-06
AYAM HIDUP, F.A.Q, KILOGRAM, 8.00, 7.50, 7.00,2021-04-06
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 9.00, 8.75, 8.50,2021-04-06
AYAM PROSES SUPER, F.A.Q, KILOGRAM, 9.50, 9.50, 9.50,2021-04-06
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 3.50, 3.25, 3.00,2021-04-06
BAWANG BESAR MERAH (INDIA), F.A.Q, KILOGRAM, 5.00, 4.75, 4.50,2021-04-06
BAWANG MERAH / KECIL (INDIA), F.A.Q, KILOGRAM, 9.00, 8.50, 8.00,2021-04-06
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 8.00, 7.75, 7.50,2021-04-06
BAYAM , F.A.Q, KILOGRAM, 8.00, 7.50, 7.00,2021-04-06
BELIMBING (B10), F.A.Q, KILOGRAM, 5.50, 5.25, 5.00,2021-04-06
BETIK SEKAKI, F.A.Q, KILOGRAM, 4.00, 3.50, 3.00,2021-04-06
BUNGA KANTAN, F.A.Q, TANGKAI, 1.00, .95, .90,2021-04-06
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 25.00, 25.00, 25.00,2021-04-06
DAUN BAWANG, F.A.Q, KILOGRAM, 19.00, 19.00, 19.00,2021-04-06
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 35.00, 35.00, 35.00,2021-04-06
KACANG BENDI, F.A.Q, KILOGRAM, 15.00, 14.50, 14.00,2021-04-06
KACANG BUNCIS, F.A.Q, KILOGRAM, 18.00, 16.50, 15.00,2021-04-06
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 11.00, 10.50, 10.00,2021-04-06
KANGKUNG, F.A.Q, KILOGRAM, 8.00, 7.50, 7.00,2021-04-06
KELAPA DIKUPAS, BESAR, BIJI, 1.80, 1.65, 1.50,2021-04-06
KELAPA DIKUPAS, SEDANG, BIJI, 1.50, 1.40, 1.30,2021-04-06
KELAPA PARUT, F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-04-06
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 12.00, 11.00, 10.00,2021-04-06
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-04-06
PISANG BERANGAN, F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-04-06
PISANG MAS, F.A.Q, KILOGRAM, 4.00, 3.75, 3.50,2021-04-06
SANTAN BIASA, F.A.Q, KILOGRAM, 7.00, 6.50, 6.00,2021-04-06
SANTAN PEKAT, F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-04-06
SAWI HIJAU, F.A.Q, KILOGRAM, 12.00, 11.00, 10.00,2021-04-06
TELUR AYAM, B, BIJI, .38, .37, .36,2021-04-06
TELUR AYAM, C, BIJI, .36, .35, .34,2021-04-06
TEMBIKAI MERAH, F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-04-06
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-06
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 13.00, 12.00, 11.00,2021-04-06
TIMUN HIJAU , F.A.Q, KILOGRAM, 6.00, 5.50, 5.00,2021-04-06
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 10.00, 10.00, 10.00,2021-04-06
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 3.50, 3.35, 3.20,2021-04-06
Pusat : SIBU, SARAWAK],,,,,2021-04-06
Nama Varieti, Gred, Unit, Harga],,,2021-04-06
Tinggi, Purata, Rendah],,,,2021-04-06
AYAM HIDUP, F.A.Q, KILOGRAM, 6.70, 6.70, 6.70,2021-04-06
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 8.50, 8.50, 8.50,2021-04-06
AYAM PROSES SUPER, F.A.Q, KILOGRAM, 9.50, 9.50, 9.50,2021-04-06
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 3.80, 3.80, 3.80,2021-04-06
BAWANG MERAH / KECIL (INDIA), F.A.Q, KILOGRAM, 7.90, 7.90, 7.90,2021-04-06
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 4.90, 4.90, 4.90,2021-04-06
BAYAM , F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-04-06
BELIMBING (B10), F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-04-06
BETIK SEKAKI, F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-04-06
CILI HIJAU, F.A.Q, KILOGRAM, 10.00, 10.00, 10.00,2021-04-06
CILI MERAH MINYAK, F.A.Q, KILOGRAM, 17.00, 17.00, 17.00,2021-04-06
DAUN BAWANG, F.A.Q, KILOGRAM, 15.50, 15.50, 15.50,2021-04-06
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 17.90, 17.90, 17.90,2021-04-06
KACANG BENDI, F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-04-06
KACANG BUNCIS, F.A.Q, KILOGRAM, 13.50, 13.50, 13.50,2021-04-06
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 8.00, 8.00, 8.00,2021-04-06
KANGKUNG, F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-04-06
KELAPA PARUT, F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-04-06
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 6.50, 6.50, 6.50,2021-04-06
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-04-06
PISANG BERANGAN, F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-04-06
PISANG MAS, F.A.Q, KILOGRAM, 4.50, 4.50, 4.50,2021-04-06
SAWI HIJAU, F.A.Q, KILOGRAM, 8.00, 8.00, 8.00,2021-04-06
TELUR AYAM, A, BIJI, .39, .39, .39,2021-04-06
TELUR AYAM, B, BIJI, .38, .38, .38,2021-04-06
TELUR AYAM, C, BIJI, .37, .37, .37,2021-04-06
TEMBIKAI MERAH, F.A.Q, KILOGRAM, 4.50, 4.50, 4.50,2021-04-06
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 8.00, 8.00, 8.00,2021-04-06
TIMUN HIJAU , F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-04-06
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 6.90, 6.90, 6.90,2021-04-06
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-04-06
Pusat : MIRI, SARAWAK],,,,,2021-04-06
Nama Varieti, Gred, Unit, Harga],,,2021-04-06
Tinggi, Purata, Rendah],,,,2021-04-06
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 8.50, 8.50, 8.50,2021-04-06
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-06
BAWANG BESAR MERAH (INDIA), F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-04-06
BAWANG MERAH / KECIL (INDIA), F.A.Q, KILOGRAM, 19.00, 19.00, 19.00,2021-04-06
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-06
BAYAM , F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-04-06
BUNGA KANTAN, F.A.Q, TANGKAI, 3.00, 3.00, 3.00,2021-04-06
CILI HIJAU, F.A.Q, KILOGRAM, 15.00, 15.00, 15.00,2021-04-06
CILI MERAH MINYAK, F.A.Q, KILOGRAM, 18.00, 18.00, 18.00,2021-04-06
DAUN BAWANG, F.A.Q, KILOGRAM, 18.00, 18.00, 18.00,2021-04-06
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 15.00, 15.00, 15.00,2021-04-06
KACANG BENDI, F.A.Q, KILOGRAM, 8.00, 8.00, 8.00,2021-04-06
KACANG BUNCIS, F.A.Q, KILOGRAM, 9.00, 9.00, 9.00,2021-04-06
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-04-06
KANGKUNG, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-06
KELAPA DIKUPAS, SEDANG, BIJI, 3.00, 3.00, 3.00,2021-04-06
KELAPA PARUT, F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-04-06
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-06
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-06
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-06
PISANG MAS, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-06
SANTAN BIASA, F.A.Q, KILOGRAM, 10.00, 10.00, 10.00,2021-04-06
SAWI HIJAU, F.A.Q, KILOGRAM, 10.00, 10.00, 10.00,2021-04-06
TELUR AYAM, A, BIJI, .39, .39, .39,2021-04-06
TELUR AYAM, B, BIJI, .38, .38, .38,2021-04-06
TELUR AYAM, C, BIJI, .34, .34, .34,2021-04-06
TEMBIKAI MERAH, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-06
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-04-06
TIMUN HIJAU , F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-04-06
Pusat : KUALA LUMPUR, W.P. KUALA LUMPUR],,,,,2021-04-06
Nama Varieti, Gred, Unit, Harga],,,2021-04-06
Tinggi, Purata, Rendah],,,,2021-04-06
AYAM HIDUP, F.A.Q, KILOGRAM, 6.50, 6.50, 6.50,2021-04-06
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 7.50, 7.50, 7.50,2021-04-06
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 6.00, 5.50, 5.00,2021-04-06
BAWANG BESAR MERAH (IMPORT), F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-04-06
BAWANG BESAR MERAH (INDIA), F.A.Q, KILOGRAM, 6.00, 5.50, 5.00,2021-04-06
BAWANG MERAH / KECIL (INDIA), F.A.Q, KILOGRAM, 9.00, 8.50, 8.00,2021-04-06
BAWANG MERAH / KECIL (THAI), F.A.Q, KILOGRAM, 10.00, 10.00, 10.00,2021-04-06
BAWANG MERAH ROSE, F.A.Q, KILOGRAM, 10.00, 10.00, 10.00,2021-04-06
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 10.00, 10.00, 10.00,2021-04-06
BAYAM , F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-04-06
BELIMBING (B10), F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-06
BETIK SEKAKI, F.A.Q, KILOGRAM, 4.50, 4.50, 4.50,2021-04-06
BUNGA KANTAN, F.A.Q, TANGKAI, 1.50, 1.50, 1.50,2021-04-06
CILI HIJAU, F.A.Q, KILOGRAM, 10.00, 10.00, 10.00,2021-04-06
CILI MERAH (CHINA), F.A.Q, KILOGRAM, 10.00, 10.00, 10.00,2021-04-06
CILI MERAH (THAILAND), F.A.Q, KILOGRAM, 10.00, 10.00, 10.00,2021-04-06
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 15.00, 14.00, 13.00,2021-04-06
CILI MERAH MINYAK, F.A.Q, KILOGRAM, 10.00, 10.00, 10.00,2021-04-06
DAUN BAWANG, F.A.Q, KILOGRAM, 30.00, 29.00, 28.00,2021-04-06
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 10.00, 9.00, 8.00,2021-04-06
KACANG BENDI, F.A.Q, KILOGRAM, 8.00, 7.50, 7.00,2021-04-06
KACANG BUNCIS, F.A.Q, KILOGRAM, 8.00, 7.50, 7.00,2021-04-06
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-04-06
KANGKUNG, F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-04-06
KELAPA DIKUPAS, SEDANG, BIJI, 2.50, 2.50, 2.50,2021-04-06
KELAPA PARUT, F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-04-06
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-04-06
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-04-06
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-04-06
PISANG BERANGAN, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-06
PISANG MAS, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-06
SANTAN BIASA, F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-04-06
SANTAN PEKAT, F.A.Q, KILOGRAM, 12.00, 12.00, 12.00,2021-04-06
SAWI HIJAU, F.A.Q, KILOGRAM, 9.00, 9.00, 9.00,2021-04-06
TELUR AYAM, A, BIJI, .35, .35, .35,2021-04-06
TELUR AYAM, B, BIJI, .34, .34, .34,2021-04-06
TELUR AYAM, C, BIJI, .33, .33, .33,2021-04-06
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 3.50, 3.50, 3.50,2021-04-06
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 7.00, 6.50, 6.00,2021-04-06
TIMUN HIJAU , F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-06
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-04-06
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-04-06
Pusat : LABUAN, W.P. LABUAN],,,,,2021-04-06
Nama Varieti, Gred, Unit, Harga],,,2021-04-06
Tinggi, Purata, Rendah],,,,2021-04-06
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 10.50, 10.50, 10.50,2021-04-06
AYAM PROSES SUPER, F.A.Q, KILOGRAM, 10.80, 10.80, 10.80,2021-04-06
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 5.00, 4.75, 4.50,2021-04-06
BAWANG BESAR MERAH (INDIA), F.A.Q, KILOGRAM, 6.00, 5.50, 5.00,2021-04-06
BAWANG MERAH / KECIL (IMPORT), F.A.Q, KILOGRAM, 10.40, 9.20, 8.00,2021-04-06
BAWANG MERAH / KECIL (INDIA), F.A.Q, KILOGRAM, 11.00, 10.00, 9.00,2021-04-06
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 10.00, 10.00, 10.00,2021-04-06
BAYAM , F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-06
BELIMBING (B10), F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-06
BETIK SEKAKI, F.A.Q, KILOGRAM, 3.50, 3.00, 2.50,2021-04-06
BUNGA KANTAN, F.A.Q, TANGKAI, 1.00, 1.00, 1.00,2021-04-06
CILI MERAH MINYAK, F.A.Q, KILOGRAM, 28.00, 26.50, 25.00,2021-04-06
DAUN BAWANG, F.A.Q, KILOGRAM, 18.00, 18.00, 18.00,2021-04-06
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 18.00, 16.50, 15.00,2021-04-06
KACANG BENDI, F.A.Q, KILOGRAM, 8.00, 7.50, 7.00,2021-04-06
KACANG BUNCIS, F.A.Q, KILOGRAM, 8.00, 7.50, 7.00,2021-04-06
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 8.00, 7.50, 7.00,2021-04-06
KANGKUNG, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-06
KELAPA DIKUPAS, SEDANG, BIJI, 2.00, 2.00, 2.00,2021-04-06
KELAPA PARUT, F.A.Q, KILOGRAM, 8.00, 8.00, 8.00,2021-04-06
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 6.00, 5.50, 5.00,2021-04-06
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 6.00, 5.50, 5.00,2021-04-06
PISANG BERANGAN, F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-04-06
PISANG MAS, F.A.Q, KILOGRAM, 4.00, 3.50, 3.00,2021-04-06
SANTAN PEKAT, F.A.Q, KILOGRAM, 11.00, 11.00, 11.00,2021-04-06
SAWI HIJAU, F.A.Q, KILOGRAM, 6.00, 5.50, 5.00,2021-04-06
TELUR AYAM, A, BIJI, .48, .48, .48,2021-04-06
TELUR AYAM, B, BIJI, .47, .47, .47,2021-04-06
TELUR AYAM, C, BIJI, .45, .45, .45,2021-04-06
TEMBIKAI MERAH, F.A.Q, KILOGRAM, 3.50, 3.00, 2.50,2021-04-06
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 4.50, 3.75, 3.00,2021-04-06
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 8.66, 8.33, 8.00,2021-04-06
TIMUN HIJAU , F.A.Q, KILOGRAM, 4.00, 3.50, 3.00,2021-04-06
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 9.00, 8.50, 8.00,2021-04-06
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-04-06
Pusat : JOHOR BAHRU, JOHOR],,,,,2021-04-08
Nama Varieti, Gred, Unit, Harga],,,2021-04-08
Tinggi, Purata, Rendah],,,,2021-04-08
AYAM HIDUP, F.A.Q, KILOGRAM, 7.30, 7.30, 7.30,2021-04-08
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 8.60, 8.60, 8.60,2021-04-08
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 6.00, 5.50, 5.00,2021-04-08
BAWANG BESAR MERAH (IMPORT), F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-04-08
BAWANG BESAR MERAH (INDIA), F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-08
BAWANG MERAH / KECIL (THAI), F.A.Q, KILOGRAM, 14.00, 13.00, 12.00,2021-04-08
BAWANG MERAH ROSE, F.A.Q, KILOGRAM, 14.00, 13.50, 13.00,2021-04-08
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 13.00, 12.50, 12.00,2021-04-08
BAYAM , F.A.Q, KILOGRAM, 6.00, 5.75, 5.50,2021-04-08
BELIMBING (B10), F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-04-08
BETIK SEKAKI, F.A.Q, KILOGRAM, 4.50, 4.25, 4.00,2021-04-08
BUNGA KANTAN, F.A.Q, TANGKAI, 1.50, 1.50, 1.50,2021-04-08
CILI HIJAU, F.A.Q, KILOGRAM, 13.00, 12.50, 12.00,2021-04-08
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 13.00, 12.50, 12.00,2021-04-08
DAUN BAWANG, F.A.Q, KILOGRAM, 25.00, 24.50, 24.00,2021-04-08
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 7.00, 6.50, 6.00,2021-04-08
KACANG BENDI, F.A.Q, KILOGRAM, 8.50, 8.00, 7.50,2021-04-08
KACANG BUNCIS, F.A.Q, KILOGRAM, 8.00, 7.50, 7.00,2021-04-08
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 8.50, 8.00, 7.50,2021-04-08
KANGKUNG, F.A.Q, KILOGRAM, 6.00, 5.75, 5.50,2021-04-08
KELAPA DIKUPAS, SEDANG, BIJI, 2.50, 2.50, 2.50,2021-04-08
KELAPA PARUT, F.A.Q, KILOGRAM, 7.50, 7.50, 7.50,2021-04-08
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-04-08
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 3.50, 3.50, 3.50,2021-04-08
KUBIS BULAT (INDONESIA), F.A.Q, KILOGRAM, 3.50, 3.50, 3.50,2021-04-08
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-04-08
PISANG BERANGAN, F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-04-08
PISANG MAS, F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-04-08
SANTAN BIASA, F.A.Q, KILOGRAM, 9.50, 9.50, 9.50,2021-04-08
SAWI HIJAU, F.A.Q, KILOGRAM, 10.00, 9.50, 9.00,2021-04-08
TELUR AYAM, A, BIJI, .38, .38, .38,2021-04-08
TELUR AYAM, B, BIJI, .33, .33, .33,2021-04-08
TELUR AYAM, C, BIJI, .28, .28, .28,2021-04-08
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 4.00, 3.75, 3.50,2021-04-08
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 6.00, 5.50, 5.00,2021-04-08
TIMUN HIJAU , F.A.Q, KILOGRAM, 4.50, 4.25, 4.00,2021-04-08
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 4.00, 3.50, 3.00,2021-04-08
